region,Shootings
alabama,7
arizona,2
arkansas,1
california,27
colorado,5
connecticut,2
florida,17
georgia,9
illinois,10
indiana,3
kentucky,3
louisiana,10
maryland,5
massachusetts,1
michigan,8
minnesota,3
mississippi,4
missouri,4
montana,1
nebraska,1
nevada,2
new hampshire,1
new jersey,1
new mexico,3
new york,3
north carolina,10
ohio,10
oklahoma,3
oregon,4
pennsylvania,11
rhode Island,1
south darolina,3
south dakota,1
tennessee,8
texas,13
utah,2
virginia,4
washington,7
wisconsin,3
delaware,0
idaho,0
iowa,0
kansas,0
maine,0
north dakota,0
vermont,0
west virginia,0
wyoming,0
south carolina,3